REGIONAL;GERENTE;GRUPO ECONOMICO;NOME SIGA;Inscritos ENEM 25.1;Inscritos Total CPF Único;Inscritos EX ENEM;Adiantamento da VCP - Nov;Adiantamento da VCP - Jan;TOP 25;Possui time comercial;Quantidade time comercial;% do CE nas matrículas do Polo;Aportes;Expectativa Matricula Enem;META 100% ONLINE;REAL 25.1;% META;META HIBRIDO;REAL 25.1;% META;META PRESENCIAL;REAL 25.1;% META;META HIBRIDO LAB;REAL 25.1;% META;META TOTAL;REAL 25.1;% META
SUL;TBD;GE8-ELIO WINCK;[ANHANGUERA/UNOPAR] - BOA VISTA DO BURICA/RS - I(15237479);1;26;25;SIM; SIM;NÃO;NÃO;0;0%;0;0;35;15;43%;0;0;0%;0;0;0%;0;0;0%;35;15;43%
CENTRO OESTE/NORTE;CARLOS SOARES;GE12-NEUSA DIVINA DA SILVEIRA FERREIRA;[ANHANGUERA/UNOPAR] - BOA VISTA/RR - I(4268);165;474;309;SIM; NÃO;NÃO;SIM;3;1%;0;0;150;66;44%;31;39;127%;0;0;0%;82;46;56%;263;151;57%
NORDESTE;MARCOS SANTOS;GE2-ELISABETE DOS SANTOS DE LIMA;[ANHANGUERA/UNOPAR] - BOCA DA MATA/AL - I(12176096);0;82;82;SIM; NÃO;NÃO;SIM;1;0%;0;0;57;19;33%;0;0;0%;0;0;0%;0;0;0%;57;19;33%
SUDESTE;MARCOS MALACARNE;GE11-IZAURO GUIMARAES;[ANHANGUERA/UNOPAR] - BOCAIUVA/MG - I(3075);187;304;117;SIM; NÃO;SIM;SIM;7;46%;0;0;127;51;40%;63;35;56%;0;0;0%;22;3;14%;212;90;42%
SUDESTE;CONSUELO NOBREGA;GE15-EVANDO LOPES;[ANHANGUERA/UNOPAR] - BOM DESPACHO/MG - I(11088951);68;156;88;SIM; NÃO;SIM;SIM;1;0%;1;0;81;33;41%;1;0;0%;0;0;0%;12;17;144%;95;50;53%
REVENUE SHARE;FERNANDO GONTIJO;GE4-MOIZES BARBOSA DA COSTA;[ANHANGUERA/UNOPAR] - BOM JESUS DA LAPA/BA - I(4038);855;1111;256;SIM; NÃO;SIM;SIM;2;3%;1;23;147;56;38%;61;41;67%;47;37;79%;147;94;64%;401;228;57%
SUDESTE;SILVIA CUNHA;GE4-SILVIA GONTIJO;[ANHANGUERA/UNOPAR] - BOM JESUS DO ITABAPOANA/RJ - I(12339688);1;64;63;SIM; NÃO;NÃO;SIM;2;0%;0;0;47;32;68%;0;0;0%;0;0;0%;8;3;38%;55;35;64%
NORDESTE;RODRIGO BONFIM;GI-BELANIZA DA SILVA NETA;[ANHANGUERA/UNOPAR] - BOM JESUS/PI - I(1051532);348;528;180;SIM; NÃO;NÃO;SIM;2;0%;0;3;108;40;37%;31;25;81%;0;0;0%;80;95;119%;218;160;73%
NORDESTE;EM BRANCO;SEM INF;[ANHANGUERA/UNOPAR] - BONITO/PE - I(14567513);0;2;2;NÃO; NÃO;NÂO;NÃO;0;0%;0;0;0;0;0%;0;0;0%;0;0;0%;0;0;0%;0;0;0%
SP INTERIOR;JULIANE ABADE;GE2-CARLA CRISTINA ZANELLA;[ANHANGUERA/UNOPAR] - BOTUCATU/SP - I(1051533);107;604;497;SIM; NÃO;NÃO;NÃO;0;0%;0;0;278;90;32%;68;32;47%;0;0;0%;108;34;31%;454;158;35%
SUL;EM BRANCO;SEM INF;[ANHANGUERA/UNOPAR] - BRACO DO NORTE/SC - I(13719497);0;19;19;SIM; SIM;NÃO;NÃO;0;0%;0;0;0;9;0%;0;0;0%;0;0;0%;0;0;0%;0;9;0%
CENTRO OESTE/NORTE;CARLOS SOARES;GE9-GRUPO VIRTUS;[ANHANGUERA/UNOPAR] - BRASILEIA/AC - I(8048);351;629;278;SIM; NÃO;SIM;SIM;2;73%;1;19;208;98;47%;3;3;101%;0;0;0%;135;142;106%;346;243;70%
NORDESTE;TATIANE ALMEIDA;GI-EVILAZIO DA SILVA HIGINO;[ANHANGUERA/UNOPAR] - BREJO SANTO/CE - I(11105851);30;111;81;SIM; NÃO;NÃO;SIM;1;14%;0;0;65;47;72%;2;2;101%;0;0;0%;11;5;45%;78;55;70%
NORDESTE;MARCOS SANTOS;GI-ADRIANO SANTOS ARAUJO;[ANHANGUERA/UNOPAR] - BREJOES/BA - I(15128716);0;30;30;SIM; NÃO;NÃO;NÃO;0;0%;0;0;44;17;38%;0;0;0%;0;0;0%;0;0;0%;44;17;38%
SUDESTE;CONSUELO NOBREGA;GE15-EVANDO LOPES;[ANHANGUERA/UNOPAR] - BRUMADINHO/MG - I(11088894);44;178;134;SIM; NÃO;SIM;SIM;1;0%;1;74;64;60;94%;0;0;0%;0;0;0%;9;2;21%;73;69;94%
REVENUE SHARE;FERNANDO GONTIJO;GE11-IZAURO GUIMARAES;[ANHANGUERA/UNOPAR] - BRUMADO/BA - I(3081);747;913;166;SIM; NÃO;SIM;SIM;3;55%;0;0;145;75;52%;43;19;44%;46;36;78%;72;43;59%;307;173;56%
NORDESTE;EM BRANCO;SEM INF;[ANHANGUERA/UNOPAR] - BURITI/MA - I(13948161);0;2;2;NÃO; NÃO;NÂO;NÃO;0;0%;0;0;0;0;0%;0;0;0%;0;0;0%;0;0;0%;0;0;0%
CENTRO OESTE/NORTE;GLAUCIA RIBEIRO;GE3-SUELI DE ALMEIDA LOPES;[ANHANGUERA/UNOPAR] - BURITIS/RO - I(1074323);306;342;36;SIM; NÃO;NÃO;NÃO;0;0%;0;53;119;40;34%;0;0;0%;0;0;0%;28;14;51%;147;54;37%
NORDESTE;RODRIGO BONFIM;GE2-LILIAN KAROLYNE;[ANHANGUERA/UNOPAR] - CABO DE SANTO AGOSTINHO/PE - I(1051536);0;237;237;SIM; NÃO;NÃO;SIM;2;0%;0;0;155;60;39%;1;17;1707%;0;0;0%;10;3;30%;166;81;49%
SUDESTE;SILVIA CUNHA;GE20-ANTONIO CARLOS DANTAS;[ANHANGUERA/UNOPAR] - CABO FRIO/RJ - I(1051672);528;1251;723;SIM; SIM;SIM;NÃO;0;0%;1;11;530;265;50%;65;12;18%;0;0;0%;358;243;68%;953;520;55%
NORDESTE;EM BRANCO;SEM INF;[ANHANGUERA/UNOPAR] - CABROBO/PE - I(14023057);0;0;0;NÃO; SIM;NÂO;NÃO;0;0%;0;0;0;0;0%;0;0;0%;0;0;0%;0;0;0%;0;0;0%
